,title_amzn,description_amzn,manufacturer_amzn,price_amzn,id_amzn
0,art explosion 600 000 images,art explosion 600 000 is an enormous collection of clip art--a 1 500-page catalog with 600 000 images in all. everything is right there in the box: no downloading no memberships.,nova development,79.99,b00001qgvr
1,jumpstart kindergarten,jumpstart kindergarten is designed to stimulate excite and inform children entering school for the first time. mr. hopsalot a cartoon bunny helps students ages 4 to 6 learn how to tell time identify upper- and lowercase letters sort objects understand prepositions and more. as with all jumpstart programs jumpstart kindergarten adapts content and presentation to a child's level of achievement and provides plenty of feedback and encouragement.,knowledge adventure,19.99,b00001xdw7
2,punch super home suite 3.0,super home suite combines seven programs for interior and exterior home and landscape design in one package. super home suite includes 3d home design 3d landscaping estimating autoframing floorplan trace 3d furniture design and realmodel. use 3d home exterior & interior design to view your home in thousands of subtle paint color choices or design walk-out basements and split-level designs with the slope tool. when you're ready to landscape your home design just add your plantings to your existing file. the software lets you landscape without redrawing your house plan. your results are rendered in high-resolution 3-d complete with shadows just like a photograph.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. and create objects from scratch or modify furniture from the included library. change colors fabrics patterns textures and more then use your creations to furnish your home plan. and get an idea of what your finished home will look like with the autoframing and realmodel software.,punch! software,49.99,b00002s5ig
6,webexpress,webexpress (win 95 98),ingram micro,69.99,b00002s75b
7,services for netware 5.0,microsoft services for netware a bundle of add-on utilities for windows nt server 4.0 is designed to allow users of the novell netware network operating system to enhance their networks with windows nt server. services for netware comprised of file and print services for netware (fpnw) and directory service manager for netware (dsmn) is part of an overall microsoft strategy to ease integration and interoperability of the windows nt server and novell netware operating systems. for this release fpnw and dsmn are offered as a bundled solution called services for netware.benefits include support for the windows 95 graphical user interface (also available with windows nt server 4.0) and support for the windows nt administration tools for windows 95. these tools allow you to administer fpnw/dsmn servers from windows 95 clients. it also offers improvements in performance over windows nt 3.51 running file and print services for netware. the web administration tool for windows nt server supports fpnw and allows an fpnw server to be administered through a web browser.,microsoft,149.0,b00004nhn7
8,punch! professional home design,punch professional home design suite does something very few home planning applications achieve: it brings together designing both the interior and the exterior--including the garden--of your home on one cd-rom. while the software is perhaps a bit complex to learn at first the huge range of features offered make this forgivable. you can start with a blank screen work with a pre-drawn plan from the software's library or import scans of the existing floor plans of your home. whichever option you choose simply clicking the onscreen tabs allows you to switch between working on the floor plans electrical plans the plumbing system roofing arrangements heating and air conditioning external decking or landscaping. getting objects such as furniture into position on a plan is mostly a matter of drag and drop while you can also use a computer aided design feature to draw curves arcs and other standard shapes. it is useful to be able to see a flat plan and a 3-d view side by side and to walk through the 3-d view or do a flyover. you can even change the light direction intensity and brightness on the 3-d views to get as close to the real world as possible. with several useful tools above and beyond the designer punch professional home design suite is a rounded application. the 3-d furniture workshop lets you edit the library of furniture objects or design your own from scratch. realmodel lets you turn a home plan into a template for making a scale model--you can even print textures onto paper for pasting to the building materials. homeestimator works out how much it will cost to build your project life-size and how much of each type of material you need. --sandra vogel,punch! software,89.99,b00004ochi
11,punch! ultimate deck and landscape,ultimate deck & landscape integrates landscaping deck design and exterior home design. estimator and deck wizards aid in creating your ideal outdoor living space. get 3-d photorealistic fly-throughs drag-and-drop textures and landscaping--all with a single interface.use the software to see how your home exterior will integrate with your deck and landscape design. add stone siding or paint color to match your current home or view changes as a remodeling part of your project. when you're ready to landscape your home design just add your plantings to your existing file. the software lets you landscape without redrawing your house plan. your results are rendered in high-resolution 3-d complete with shadows just like a photograph.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. the deck & landscape estimator compiles building material and landscape planting information in a custom spreadsheet report as you draw. the editable and exportable spreadsheet is available right from the program. just add in costs and you'll have an accurate report of your expenses.,punch! software,29.0,b00004ochj
12,noah's ark activity center (jewel case ages 3-8),,victory multimedia,0.0,b00004tkvy
13,cook'n vegetarian,featuring recipes for tasty and healthful meatless dishes made with fresh ingredients the cook'n vegetarian cd also includes a selection of almost-instant recipes with preparation times of 30 minutes or less. many of the cook'n vegetarian cd's recipes use less fats sugars and salts and bring out the natural nutritional properties in everyday foods. recipe selection is made simple: type in what ingredients you have on hand and search for recipes utilizing those ingredients. other features include:hundreds of full-color food photos organize your own recipes e-mail recipes to your friends print your recipes on decorative 3-by-5 cards create weekly menus make grocery shopping lists search the internet for coupons analyze the nutritional value of your recipes download recipes and shopping lists to your palm pilot,dvo enterprises,19.99,b000056b62
14,watchguard serverlock manager (100 servers),watchguard serverlock manager controls the integrity of servers across your enterprise. with a simple and elegant user interface watchguard serverlock manager is easy-to-use secure and powerful. with a click of the mouse you can configure security rules assign server groups and set server protection levels as you wish - at any level of detail you require. watchguard serverlock manager uses a combination of kernel-based pki a 239-bit elliptical curve cryptosystem (ecc) from certicom and triple des encryption so that instructions and communications from the management console cannot be intercepted.,watchguard technologies inc,14995.0,b00005atxo
15,math 2,based on the school zone workbook series this program teaches critical math skills with interactive activities and fun games. proven curriculum audio guidance and clear examples help your child master addition subtraction multiplication place values and other skills. the program randomizes problems with each use providing endless activities. the engaging games provide a helpful break.,school zone,9.99,b00005birs
16,model web publisher 3.5.2 .,,computer associates international,0.0,b00005ld1r
