,title_g,description_g,manufacturer_g,price_g,id_g
0,nova development corp art explosion 600000 images,art explosion is the brand that computer users everywhre keep coming back to again and again. and for good reason. art explosion products are well-known for unparalleled variety and the highest possible quality. and they offer the kind of truly ...,,72.86,http://www.google.com/base/feeds/snippets/17956725325082284641
1,jumpstart kindergarten (jc),players team up with frankie and the jumpstart pals as they get ready for the wackiest bumpiest twirliest car race.,,9.9,http://www.google.com/base/feeds/snippets/10541632718220382972
2,punch software 17100 punch! super home suite,our bestselling premium home design software with professional yet easy-to-use features! 17100 punch software,punch software,45.99,http://www.google.com/base/feeds/snippets/10121034673222484873
3,punch software 17100 punch! super home suite,our bestselling premium home design software with professional yet easy-to-use features!,punch software,45.99,http://www.google.com/base/feeds/snippets/16696977577840370909
4,punch software 17100 - punch! super home suite v.3.0 - complete product - architectural - 1 user - complete productcomplete productstandard - english - pc,punch software 17100 : the premium home design software solution that lets you view your ideas in ways no other software can. 7 powerful programs in one plus ultimate deck that launch from the same easy-to-use interface including our patented ...,,45.97,http://www.google.com/base/feeds/snippets/4015258116571466944
5,punch software 17100 punch! super home suite,our bestselling premium home design software with professional yet easy-to-use features! 17100 punch software,punch software,45.99,http://www.google.com/base/feeds/snippets/8376577004489658408
6,microvision development webexpress,webexpress gets you started with dozens of customizable templates so you can create professional looking web sites and be up on the web instantly. take orders right from your web site and sell products globally. post product information upcoming ...,,57.52,http://www.google.com/base/feeds/snippets/18029245320668853953
7,microsoft windows services for netware - ( v. 5.0 ) - complete package,microsoft windows services for netware - ( v. 5.0 ) - complete package - 1 server - cd - win - english,,138.17,http://www.google.com/base/feeds/snippets/18434385825570199468
8,punch software 14100 punch! professional home design suite for windows,12 powerful programs in one gives you total control over every phase of your home design project including electrical and mechanical systems! punch! professional home design suite is the home design software package that lets you design all of the ...,punch software,62.99,http://www.google.com/base/feeds/snippets/13869960802688221937
9,punch software 14100 punch! professional home design suite for windows,12 powerful programs in one gives you total control over every phase of your home design project including electrical and mechanical systems! punch! professional home design suite is the home design software package that lets you design all of the ...,punch software,62.99,http://www.google.com/base/feeds/snippets/2954833753751672874
10,punch software 14100 - punch! home design suite professional - architectural - 1 user(s) - pc,punch software 14100 : punch! professional home design suite the total home design software solution that lets you plan every detail of your home. 12 programs in one intuitive easy-to-use interface... powerful professional tools to help you design ...,,59.97,http://www.google.com/base/feeds/snippets/8564521918031484066
