,title_g,description_g,manufacturer_g,price_g,id_g
0,beginner's guitar course vol. 1,introducing the guitar with chords and strumming. cd-rom software. with cd-rom. 9x12 inches. published by emedia. hal leonard is pleased to introduce this multimedia cd-rom series from emedia music the leading publisher of music instruction ...,,19.95,http://www.google.com/base/feeds/snippets/18383335775964760042
1,madison media software aspvms8000 - acad vegas movie studio +dvd 8 platinum,madison media software aspvms8000 : madison media software acad vegas movie studio +dvd 8 platinum - aspvms8000,,81.97,http://www.google.com/base/feeds/snippets/11359745283620291559
2,freddi fish 2 - case of haunted schl hse,children - ages 3 to 8 everyone knows there's no such thing as ghosts... so who is haunting the schoolhouse taking the toys & practically scaring the scales off of all the guppies? good thing super-sleuths freddi fish & luther are on the case. ...,,7.5,http://www.google.com/base/feeds/snippets/18384366678790095384
3,macspeech ilisten software,feature summary easy to install train and use continuous speech recognition - dictation in normal tone of voice and at a normal pace using the philips freespeech 2000 speech engine direct dictation - dictate edit and format text directly in any ...,,99.99,http://www.google.com/base/feeds/snippets/10445277524546945239
4,backup exec 10d win adv disk v10.1 e/f/g/s/i/j/c/k full pk,backup exec 10dwindows advanced disk backup optionv10.1 e/f/g/s/i/j/c/kfull package product,,309.99,http://www.google.com/base/feeds/snippets/18392335669009428265
5,printmaster gold v 17.0 (win 98 me 2000 xp),if you ve got a passion for creative self-expression you ll find endless inspiration in this sophisticated easy-to-use program. enjoy all of the great features you expect from printmaster® plus brilliant new upgrades that make personal creativity ...,,19.95,http://www.google.com/base/feeds/snippets/13683578637114771147
6,encore software 11941 - the print shop zoom,encore software 11941 : encore software the print shop zoom - 11941,,17.97,http://www.google.com/base/feeds/snippets/10720405921949933758
7,norton systemworks 2007 premier up - symantec - 10930721,powerful protection and performance enhancement 10930721,,71.61,http://www.google.com/base/feeds/snippets/18423816476684578073
8,01-ssc-5310 sonicwall global vpn client - license - 1 user - win,sonicwall 01-ssc-5310 : usually ships in 24 hours : : in today's business environment providing mobile workers with a secure easy-to-use solution that gives them remote access to mission-critical resources on the corporate network is vital to a ...,,43.85,http://www.google.com/base/feeds/snippets/13569469265401894942
9,serious magic ultra master sets library 1 effects software,ultra master sets library 1 - 14 cutting-edge virtual sets software plug-ins for ultra - win save time and thousands of dollars by using the virtual sets included with the serious magic master sets library 1 virtual sets software plug-ins for ultra ...,,339.95,http://www.google.com/base/feeds/snippets/5238862557893361196
10,media studio for psp standard editon (800060),media studio for psp standard editon brand: encore software mpn: 800060 variant name: media studio for psp standard editon,,47.99,http://www.google.com/base/feeds/snippets/12383342975629473219
11,vivendi-universal games inc - 72305 - world of warcraft 60 day prepaid,with the world of warcraft® pre-paid game card you can continue your epic quest for 60 days without a credit card. follow the instructions at www.worldofwarcraft.com/gamecard and be up and running in minutes. the world of warcraft game card is a,,27.99,http://www.google.com/base/feeds/snippets/18399719239824156071
12,mz24a0075 emc insignia retrospect multi server - ( v. 7.5 ) - upgrade package - unlimited,emc2 mz24a0075 : usually ships in 24 hours : in stock : emc retrospect is automated reliable cost-effective backup and recovery software for small and medium business (smbs) the distributed enterprise and home offices.,,502.04,http://www.google.com/base/feeds/snippets/13309506419740202309
13,quicken 2007 premier win cd,quicken 2007 premier win cd,intuit,73.99,http://www.google.com/base/feeds/snippets/10090208868795399315
14,punch software pro home design suite,,,61.8,http://www.google.com/base/feeds/snippets/18097036016943613075
15,make finale 2007 software music production software,finale 2007 - professional notation and score publishing software for mac os x and windows 2000/xp for the professional composer or music publisher producing and outputting music scores and instrumental parts finale 2007 from makemusic is the ...,,429.95,http://www.google.com/base/feeds/snippets/17326098494894452732
16,encore software 11052 - hoyle: classic collection 2006 - win 98 me 2000 xp,encore software 11052 : hoyle the 1 brand in family entertainment delivers a powerful 4 game collection packed with only the most popular hoyle games. system requirements: windows 98se/me/2000 sp4/xp sp 1 pentium iii 450 mhz 16mb ram (64mb for ...,,18.97,http://www.google.com/base/feeds/snippets/9785861434635986999
17,ableton live 6 software - educational discount music production software,live 6 - loop based/linear recording music production software for mac os x and windows 2000/xp - educational discount live 6 from ableton is music production software that allows one to spontaneously compose record remix improvise and edit musical ...,,299.0,http://www.google.com/base/feeds/snippets/13337868949897057617
18,avanquest usa llc partition commander 10,,,43.32,http://www.google.com/base/feeds/snippets/18225778049143407208
19,movies on psp,xoom movies on psp enables you to quickly convert your dvds or movie files into a format your psp can read and understand. get the best possible picture and audio quality for 10 different input formats: dvd (s)vcd divx avi wmv real mpeg quicktime ...,,15.9,http://www.google.com/base/feeds/snippets/17010841797296818807
20,cosmi talking math for kids,key features: teaches basic math introduces states and flags encourages reading various skill levels for kindergarten and up cosmi ...,,4.99,http://www.google.com/base/feeds/snippets/12471937113581397461
21,vegas movie studiodvd+8 plat,sony media software vegas movie studio +dvd 8 platinum edition. video editing and dvd creation software vegas movie studio platinum edition software provides the power features and advanced tools you need to edit video in nearly any format ...,sony creative software,92.99,http://www.google.com/base/feeds/snippets/12991998923940483779
22,smart steps - 4th grade (jc),the most complete learning system! super-fun activities: over 430 in all! core subjects: english math and science! motivating rewards ensure learning! put your child a step ahead! watch your child s grades take off with this comprehensi,,11.95,http://www.google.com/base/feeds/snippets/18386073325514862606
23,real world corporation(tm) compatible laser checks,compatible with real world corporation(tm) versions 6.0 and 6.6 expertise accounting and classic accounting 7.0-8.0.laser check form size: 8 1/2in. x 11in. 1 check per sheet.,,106.29,http://www.google.com/base/feeds/snippets/8349616171333229990
24,iwork '06 (mac) apple,key features: professional documents interactive presentations includes keynote 3 includes pages 2...,,79.99,http://www.google.com/base/feeds/snippets/9643223122893875320
25,individual software inc typing instructor deluxe j/c,for all ages typing instructor deluxe is targeted to pc users at every level who want to learn how to touch type. incluees 3 travel themes dynamic typing tests new multi-level games and custom personalization. system requiremen,,6.84,http://www.google.com/base/feeds/snippets/16790631679419428442
26,pc-cillin internet security 2007 3-user (win me 2000 xp),trusted by millions to protect their identity privacy and irreplaceable filestrend micro? internet security 2007 and trendsecure comprehensively safeguards your computers your home networks and your personal identity. email shop share pictures ...,,49.95,http://www.google.com/base/feeds/snippets/13773294714940805969
27,dan rodowicz yamaha i'll be seeing you - jazz gems - (for xg-compatible modules),1. but beautiful 2. easy to love (you'd be so easy to love) 3. i'll be seeing you 4. if i were a bell 5. in the wee small hours of the morning 6. my old flame 7. small world 8. take five 9. what a diff'rence a day made 10. what's new?,,25.77,http://www.google.com/base/feeds/snippets/17104129864553386843
28,encore software 10393 - network now! pro by encore,encore software 10393 : network now! pro by encore - 10393,,33.97,http://www.google.com/base/feeds/snippets/3040037286169376262
29,encore software 10673 - hoyle casino 2007 - win 98 me 2000 xp,encore software 10673 : hoyle casino the best-selling casino game of all time offers excitement and challenge with over 500 variations of 16 of the most popular casino games. system requirements: windows 98se/me/2000 sp4/xp (home & pro) sp1 ...,,18.97,http://www.google.com/base/feeds/snippets/13799844440134110129
30,aspyr sims 2 nightlife expansion pack,operating system: mac os x 10.3.8 or later cpu processor: powerpc g4/g5 cpu speed: 1.2ghz or faster memory: 256 mb or higher hard disk space: 3gb free disk space video card (ati): radeon 9000 or better video card (nvidia): geforce fx5200 or better ...,,35.99,http://www.google.com/base/feeds/snippets/5615075942724114350
31,detto move2mac usb kit (to move data from pc to ma,pc with 486 or higher processor microsoft internet explorer 4.01* or higher mouse (highly recommended) keyboard any of the following operating systems: microsoft windows 98 98se millennium 2000 or xp 32 mb ram 30 mb hard drive space cd rom drive ...,,44.99,http://www.google.com/base/feeds/snippets/13036666023758000710
32,allume mediarecover,system requirements microsoft windows xp/vista or macintosh os x 10.3.9 or higher compatible card reader and sufficient free disk space for the files being recovered note: some cameras delete images by overwriting the contents. mediarecover will not ...,,32.99,http://www.google.com/base/feeds/snippets/13212739364324191667
33,mcafee inc mcafee virusscan plus sub 1:1 3u mb en,,,56.38,http://www.google.com/base/feeds/snippets/16965466141678042659
34,total 3d home deluxe (jewel case) (jce-th6),total 3d home deluxe (jewel case) brand: individual software mpn: jce-th6 variant name: total 3d home deluxe (jewel case),,9.59,http://www.google.com/base/feeds/snippets/13465309500499088471
35,cakewalk sonar 6 studio edition software music production software,sonar 6 studio edition - multi-track audio/midi recorder/editor software for windows xp sonar 6 studio edition from cakewalk is fully-featured software for music-production designed to cover every step of the production cycle from composing with ...,,279.95,http://www.google.com/base/feeds/snippets/8805781114218671102
36,topics entertainment cs-50613 snap! 8 player poker 5 pack,snap! 8 player poker 5 pack(a stock balance requires all 5 pieces be returned),,18.99,http://www.google.com/base/feeds/snippets/18380144380139373224
37,encore software 11041 - the print shop elements: labels& logos sb cs by the print shop,encore software 11041 : encore software the print shop elements: labels& logos sb cs by the print shop - 11041 specifications : manufacturer : encore inc manufacturer part number : 11041,,17.97,http://www.google.com/base/feeds/snippets/13312621869477195220
38,kids power fun for kids,disney/pixar's a bug's life action game it's a swarm of furious fun based on the hit film disney/pixar's a bug's life. you'll enjoy hours of exciting gameplay as you assume the identity of our animated hero flik recruiting a brave bug band of ...,,15.9,http://www.google.com/base/feeds/snippets/15918748426604243470
39,software testing,software testing second edition provides practical insight into the world of software testing and quality assurance. learn how to find problems in any computer program how to plan an effective test approach and how to tell when software is ready ...,,28.69,http://www.google.com/base/feeds/snippets/2318451966318473788
40,web shop platinum,now creating an e-commerce web site has never been easier! maximize your business potential with the leading e-commerce solution. unlike any other program available on the market. everything you need in an all-in-one product. make your web design ...,,36.9,http://www.google.com/base/feeds/snippets/5968511357343083164
41,intuit quickbooks customer manager 2.5 for windows tax & finance software,quickbooks customer manager 2.5 for windows the quickbooks customer manager 2.5 for windows from intuit is a software package that is designed to allow quickbooks software to share customer data with microsoft outlook. customer manager can be used ...,,79.95,http://www.google.com/base/feeds/snippets/9117876336691363711
42,encore software 11230 - hoyle bridge club - win 2000 xp,encore software 11230 : the 1 name in gaming delivers the only branded bridge product available. select a deck and start your bidding! system requirements: windows 2000 sp4/xp (home and pro) sp2¹ pentium 266 mhz processor or faster 128 mb ram 640 ...,,26.97,http://www.google.com/base/feeds/snippets/8519495523069900652
43,encore software 13861 - tlc arthurs kindergarten learning system 2008,encore software 13861 : encore software tlc arthurs kindergarten learning system 2008 - 13861,,17.97,http://www.google.com/base/feeds/snippets/17939239291631766146
44,encore software 11141 - fate sb cs by wild games,encore software 11141 : encore software fate sb cs by wild games - 11141,,17.97,http://www.google.com/base/feeds/snippets/826668451451666270
45,encore software 10466 - clickart 1.2 million dvd 2006 by broderbund,encore software 10466 : encore software clickart 1.2 million dvd 2006 by broderbund - 10466,,41.97,http://www.google.com/base/feeds/snippets/65578552457551022
46,qb pos 6.0 basic rtailrs hw/sw,qb pos 6.0 basic retailers hardware and software bundle. includes pos basic software v6.0 and the pos hardware bundle which includes receipt printer cash drawer bar code scanner and credit card reader.,,1272.08,http://www.google.com/base/feeds/snippets/12305355018633460121
47,instant play electric guitar express (jc),with instant play electric guitar you've got a complete interactive approach to playing the electric guitar in any number of styles! learn to read the standard musical notation and tablatures clear easy-to-follow instructions explain how each ...,,12.9,http://www.google.com/base/feeds/snippets/13392915442415544255
48,the print shop(r) 22,the print shop 22 is like having your own creative agency at home! includes over 250000 images and graphics plus more than 18000 project templates. endless new images tools colors projects and artistic effects give you the power to create ...,,29.99,http://www.google.com/base/feeds/snippets/16984973005966322912
49,individual software professor teaches windows xp,professor teaches windows xp is the complete multimedia training program for the popular microsoft windows xp home edition and windows xp professional -- plus bonus training for digital media home & small office networking and internet ...,,19.99,http://www.google.com/base/feeds/snippets/17491282253363994324
50,sibelius sibelius 5 software - educational discount music production software,sibelius 5 - software for writing playing printing and publishing music notation for mac os x and windows - educational discount sibelius 5 from sibelius is a fully featured and complete software solution for writing playing printing and publishing ...,,248.95,http://www.google.com/base/feeds/snippets/13813465547037122851
51,wingnuts 2: raina's revenge,system requirements: mac os x 10.4+ g4/g5/intel 800+ mhz cpu 512 mb ram 32 mb video card 950 mb hard drive space,,28.99,http://www.google.com/base/feeds/snippets/13255609368261584070
52,jason nyberg the beatles yamaha sgt. pepper's lonely hearts club band,with its simultaneous sophistication and boundless experimentation sgt. pepper's lonely hearts club band is arguably the most progressive and groundbreaking album of all time and certainly among the most imposrtant releases by the beatles. this d,,25.77,http://www.google.com/base/feeds/snippets/17514853077844203642
53,me too software i transfer dvds 2 ipod,,,29.99,http://www.google.com/base/feeds/snippets/4436087621332035022
54,danny morris berklee press essential rock grooves for bass - berklee workshop series,learn how to lock into an airtight groove with berklee professor and versatile bassman danny morris. in this master class morris teaches techniques to help you anchor your band with a foundation of solid bass lines chord progressions and rhythmic ...,,14.86,http://www.google.com/base/feeds/snippets/17462447405729815430
55,corel corporation corel snapfire plus,ignite photo fun with corel snapfire plus! this easy-to-use software helps you easily retouch photos like a pro share them in new entertaining ways backup your collection and so much more! system requirements: windows xp wind,,37.2,http://www.google.com/base/feeds/snippets/16905793691117512235
56,encore 10023 hoyle mahjongg for pc,hoyle mahjongg challenges your skill and strategy with the world's greatest mahjongg collection. features: ^^ multiple backgrounds and tile sets ^^ several game modes & game to choose from -- even a create your own tile feature 10023 encore,encore,6.99,http://www.google.com/base/feeds/snippets/18395787464051623418
57,punch software 25100 punch! master landscape and home design,punch! master landscape & home design offers an extensive plantings database deck topography and new technology integrating your actual home photos into infinite 3d views. this garden and landscape software lets you bring your landscaping ideas to ...,punch software,45.99,http://www.google.com/base/feeds/snippets/2519306436830554150
58,encore software 12360 - elementary advantage 2008 - win 2000 xp vista,encore software 12360 : elementary school advantage? 2008 delivers the most award-winning content aligned with classroom curriculum. get the best results with over 1000 lessons and exercises in the core subjects. system requirements: windows 2000 ...,,34.97,http://www.google.com/base/feeds/snippets/5609692463569230619
59,encore inc printshop business card maker,select from a ready-made project or start from scratch. customize your creation with a wide variety of fonts colors and images. the perfect collection of high-quality graphics and projects help you get your message across in a way that is sure to ...,,8.01,http://www.google.com/base/feeds/snippets/18240279639195527181
60,adobe premiere pro cs3 software with encore cs3 and onlocation cs3 (windows only) full version for windows,adorama camera: tell your story with maximum impact using adobe premiere pro cs3 software the start-to-finish solution for efficient video production that now includes adobe onlocation cs3 (windows only) and adobe encore cs3 in the box. save time ...,,723.95,http://www.google.com/base/feeds/snippets/8589080476501847235
61,cookn vegetarian,the diet choice for many world cultures for millennia vegetarian cuisine is widely recognized as innovative exciting and appetizing as well as healthy. with cookn vegetarian you have the benefit of healthy foods in half the time.,,19.99,http://www.google.com/base/feeds/snippets/18446496383812786183
62,peachtree(r) complete iii,guaranteed to work with peachtree(r) complete iii for windows(r)!statements. get your customers to pay promptly.invoices. plenty of room for describing and listing products/services and amounts.multipurpose forms. hundreds of uses. ideal for ...,,112.99,http://www.google.com/base/feeds/snippets/15981669642400468507
63,01-ssc-6993 sonicwall client/server anti-virus suite - subscription license ( 3 years ) - 50,sonicwall 01-ssc-6993 : usually ships in 24 hours : : sonicwall client/server anti-virus suite leverages the award-winning mcafee netshield and groupshield applications for networks with windows -based file print and exchange servers.,,3992.98,http://www.google.com/base/feeds/snippets/13464833788774660263
64,quark xpress 7 upgrade (no returns),system requirements: macintosh computer with powerpc: operating system: mac os x v10.4 or later minimum 128mb total ram 300mb available hard disk space for quarkxpress installation tcp/ip network for site license (using qla) cd-rom drive for ...,,239.99,http://www.google.com/base/feeds/snippets/16465257250494671490
65,encore software 10538 - adventure workshop preschool 7 by the learning company,encore software 10538 : encore software adventure workshop preschool 7 by the learning company - 10538,,17.97,http://www.google.com/base/feeds/snippets/450727896245374226
66,national geographic: forces of nature,from lighting to locusts fires to floods increase your understanding of the planet's raw power with forces of nature on cd-rom. packed with a wealth of interactive multimedia features this software program is specifically designed to enlighten ...,,12.9,http://www.google.com/base/feeds/snippets/6856336028258284106
67,netopia timbuktu pro for mac and windows 2 pack,product datasheet [pdf: 2.1mb],,207.99,http://www.google.com/base/feeds/snippets/8968352871606641625
68,encore inc family tree maker 2008 platinum,,,85.07,http://www.google.com/base/feeds/snippets/18309926777977827139
69,fogware hyb art dvd,works with ipod 5g & ipod nano windows: windows® 2000 or xp dvd drive itunes 7 or later quicktime 7.1.1 or later. no installation necessary. mac: mac os x dvd drive itunes 7 or later quicktime 7.1.1 or later. no installation necessary.,,21.99,http://www.google.com/base/feeds/snippets/10956401022937572078
70,merriam-webster's dictionary (win/mac) (jewel case) (10462),merriam-webster's dictionary (win/mac) (jewel case) brand: fogware publishing mpn: 10462 variant name: merriam-webster's dictionary (win/mac) (jewel case),,9.59,http://www.google.com/base/feeds/snippets/10282477376383378142
71,jumpstart phonics (jc),welcome to camp readalot!,,9.9,http://www.google.com/base/feeds/snippets/7117788517647646539
72,microsoft 122-00411 - visual studio 2005 team edition for software testers with msdn premium subscription renewal - complete product - programming tool - standard - 1 user(s) - complete product - english - pc- free shipping,microsoft 122-00411 : today's software systems are comprised of numerous distributed services spanning platforms protocols and programming languages all with significant impact on the operations environment. moreover teams have become ...,,2069.97,http://www.google.com/base/feeds/snippets/3137318477096164629
73,steinberg software cubase se 3.0 - educational edition,midi sequencing vst system link rewire and 48 tracks of 24-bit 96k audio utilizing the latest 3.0sx engine. new interface and several midi and audio enhancments. (includes steinberg key.),,145.73,http://www.google.com/base/feeds/snippets/18107239556630917796
74,palo alto software bpdx - palo alto business plan 2007 pro premier edition - complete product - business planning - 1 user - complete product - standard - pc,palo alto software bpdx : business plan pro 2007 is the 1 selling business planning software providing everything you need to produce a profession business plan that gets results. system requirements: cd-rom enclosed (no cd-rom with download only ...,,184.97,http://www.google.com/base/feeds/snippets/13692542638505368471
75,encore software 11610 - scrabble with bonus clue - win 98 me 2000 xp,encore software 11610 : scrabble takes the world s most popular word game and adds a new dimension. try more than a dozen mini-games for quick doses of scrabble fun. system requirements: operating system: windows 95/98/me/xp processor: pentium ii ...,,18.97,http://www.google.com/base/feeds/snippets/2651646167662758246
76,kids power fun for girls,music mermaids and madcap adventures four big titles mean big fun for girls. freddi fish 4 the case of the hogfish rustlers of briny gulch: the captivating game of underwater wrangling and reasoning. lilo and stitch: trouble in paradise: lets ...,,15.9,http://www.google.com/base/feeds/snippets/2622452102774676117
77,wg7569 watchguard livesecurity service gold - watchguard serverlock for solaris technic,watchguard technologies wg7569 : usually ships in 24 hours : : watchguard technologies is pleased to offer you the gold livesecurity program.,,2279.02,http://www.google.com/base/feeds/snippets/13555492496576702552
78,sound studio 3 for mac,easytouse mac os x application for recording and editing audio digitally to your computer digitize vinyl records and tapes record live performances create mixes with crossfades tweak levels and eq apply digital and save in file formats repair ...,,79.99,http://www.google.com/base/feeds/snippets/18374143831267894200
79,continuous checks for peachtree(r) complete iii for dos v. 5.0-10.0,guaranteed compatible!variety. forms and checks for all your needs in your choice of fanfolded continuous or single-sheet laser/inkjet.run easily. designed for smooth easy processing through your printer.no mess. all forms and checks use carbonless ...,,144.59,http://www.google.com/base/feeds/snippets/3763717132197727876
80,elementary advantage 2008 encore,key features: lessons and exercises covers multiple subjects ...,,39.95,http://www.google.com/base/feeds/snippets/12958721621590299185
81,nova development corp pc tutor learn windows vista & office 2007,pc tutor? is computer training at its finest ? fast and easy and an effective way to learn windows vista and microsoft office 2007. this innovative courseware will engage and motivate you with interesting lessons and fun practice exercises every step,,28.3,http://www.google.com/base/feeds/snippets/16972373098771212794
82,bethesda software 12000 - ihra drag racing sportsman edition - win me nt 2000 xp,bethesda software 12000 : if you're looking for instant action try the arcade mode where you can chose from single event or two-player split-screen racing. for more in-depth play a season mode allows you to experience the excitement and challenge ...,,19.97,http://www.google.com/base/feeds/snippets/10456226442463891565
83,bobby walters academy award winners,1. evergreen (love theme from ?a star is born?) 2. chim chim cher-ee (from ?mary poppins?) 3. talk to the animals 4. the windmills of your mind 5. born free 6. the shadow of your smile (love theme from ?the sandpiper?),,23.59,http://www.google.com/base/feeds/snippets/17477502346334387395
84,encore software 14110 - jeopardy! deluxe - win 2000 xp vista,encore software 14110 : do you have what it takes to be a champion? p get ready to test your knowledge with america's favorite quiz show®. play alone or pit yourself against the computer with up to two other contestants. just like the show if you ...,,18.97,http://www.google.com/base/feeds/snippets/16908015325729489564
85,01-ssc-5670 sonicwall cfs standard edition for sonicwall pro 4100 - subscription license ( 1,sonicwall 01-ssc-5670 : usually ships in 24 hours : : more and more businesses schools government agencies and libraries are connecting to the internet to meet their organizational and educational goals.,,857.38,http://www.google.com/base/feeds/snippets/13733941457425508916
86,solid chips 2book set,pantone solid chips 2-book set,,201.2,http://www.google.com/base/feeds/snippets/18444819483027769558
87,apple software t9163ll/a logic pro 6,1 user standard license complete retail package logic is the most widely used program of its kind in professional music production. it elegantly combines composition notation and audio production facilities in one comprehensive product. and now ...,apple software,809.0,http://www.google.com/base/feeds/snippets/14693413290856659257
88,individual software resume maker professional deluxe 12.0,resumemaker is packed with powerful features to help you write better resumes land better jobs and earn higher salaries. whether you're actively searching for a job ready to advance your career or just want to get your resume into shape trust ...,,29.99,http://www.google.com/base/feeds/snippets/712876185653102576
89,money prem 2007 cd minibox,money premium 2007 win32 english north america us only cd mini box non-rebate,microsoft,63.99,http://www.google.com/base/feeds/snippets/9949258255997064102
90,mediafour macdrive 6 - access mac partition in windows,system requirements: microsoft® windows xp 2003 server 2000 me 98se with internet explorer 6 (or newer). macdrive is intended for use on english operating systems. use on non-english operating systems may be possible although not supported at ...,,43.99,http://www.google.com/base/feeds/snippets/15404585187042606500
91,adobe cs3 web standard upgrade,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 java runtime environment 1.5 1gb ram 4.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card ...,,413.99,http://www.google.com/base/feeds/snippets/2261905427242154693
92,quickbooks(r) point of sale 2007: basic retail management 6.0 bundle,quickbooks point of sale 2007: basic retail management 6.0 a hardware and software package turns any pc into a cash register. this easy-to-use retail management software replaces your cash register tracks all of your inventory sales and customer ...,,1499.99,http://www.google.com/base/feeds/snippets/16204332067880971285
93,nova print explosion deluxe 3.0,system requirements ilife® support spectacular scrapbook thousands of new greeting cards brand new look universal binary,,46.99,http://www.google.com/base/feeds/snippets/17823721749459533075
94,kaplan sat/act/psat express,kaplan has helped more than 3 million students score higher on admission exams and get into the nation's top colleges and universities. our effective program of practice review and test-taking strategies has made higher score sat/act/psat the best,,9.99,http://www.google.com/base/feeds/snippets/18384280629938052082
95,the land before time: kindergarten adventure,overview there's plenty to learn in the land before time! and littlefoot and friends are busy making sure it's fun too. important learning experiences are built into entertaining and engaging activities with an emphasis on creativity and teamwork. ...,,12.9,http://www.google.com/base/feeds/snippets/2644254417608822315
96,encore software 11630 - monopoly tycoon - win 98 me 2000 xp,encore software 11630 : monopoly tycoon rolls simulation and strategy into one game! build businesses and watch your profits grow in real-time! don t stop until you own it all! system requirements: minimum system requirements: operating system: ...,,7.69,http://www.google.com/base/feeds/snippets/9685850187894108398
97,apple software m9301z/b soundtrack v1.2,produce music with thousands of loops and effects! soundtrack brings the art of music composing to everyone. with minimal cost and effort you can produce custom music to your video dvd or web project. you wont need to license a song or hire a ...,apple software,199.0,http://www.google.com/base/feeds/snippets/16537637847870148950
98,intuit quickbooks simple start edition 2007 software for windows tax & finance software,quickbooks simple start edition 2007 software for windows the quickbooks simple start edition 2007 software for windows from intuit is a bookkeeping application designed for small businesses. it allows you to print checks and pay bills. you can also ...,,83.95,http://www.google.com/base/feeds/snippets/5250375660251099807
99,nova development corp art explosion 600000 images,art explosion is the brand that computer users everywhre keep coming back to again and again. and for good reason. art explosion products are well-known for unparalleled variety and the highest possible quality. and they offer the kind of truly ...,,72.86,http://www.google.com/base/feeds/snippets/17956725325082284641
100,vivendi-universal games inc swat 4,it's not just about the badge it's about the rush! the adrenaline is always high as you carry on the legendary swat® tradition ? leading an elite squad of tactical experts into hard-hitting action that delves into every detail of the,,18.77,http://www.google.com/base/feeds/snippets/16689580885336652505
101,micromat inc. diskstudio,how often have you wished that you could change the partitioning scheme of your hard drive but not wanted to go through the trouble of completely erasing and reinitializing your hard drive to do so? now using diskstudio you are able to do this ...,,43.36,http://www.google.com/base/feeds/snippets/17165389585205797735
102,sony media software acid pro 5 music production software,acid pro 5 loop based music production software for windows acid pro 5 is a loop-based music creation tool that allows for the production of original royalty-free music. songs can be created tracks re-mixed music beds developed videos scored and ...,,199.95,http://www.google.com/base/feeds/snippets/12931942175551075589
103,mp3 radio recorder for ipod,overview now legal mp3 recording from the webcast music server made possible with x-oom mp3 radio recorder for ipod. webcast is a webbased radio streaming server. it is widely used by a lot of people so you can freely listen to your favourite music. ...,,22.9,http://www.google.com/base/feeds/snippets/14493833507639383996
104,fpxmlc020-a01 vortexml - ( v. 2 ) - complete package - 1 user - cd - win,datawatch fpxmlc020-a01 : usually ships in 24 hours : : vortexml v2 provides a variety of enhancements from more preview and verification features to more friendly and interactive template building capabilities making it much easier for you to ...,,363.63,http://www.google.com/base/feeds/snippets/13683080246470730706
105,sos aggregation company corefx three level-core learning ltd.,a powerful graphics software program with selection of skill level to suit users of all ages;painting and drawing tools use realistic art effects and the program includes clipart photo-editing and animation tools system requirements: windows ba,,51.09,http://www.google.com/base/feeds/snippets/17651580132908652894
106,902453-007-e rumba unix-hp edition - upgrade license - 1 user - volume - level e ( 1000-1999,netmanage 902453-007-e : usually ships in 24 hours : : the rumba product family provides users secure access to mission-critical applications and data residing on virtually any host system from the latest windows desktops including windows xp and ...,,106.48,http://www.google.com/base/feeds/snippets/13029285540855383313
107,nova development bsw business plan writer deluxe 8.0,business plan writer deluxe 8.0 bsw nova development,nova development,94.99,http://www.google.com/base/feeds/snippets/18378422702839985200
108,thq 36118 - danny phantom: urban jungle - action/adventure game - nintendo ds,thq 36118 : a powerful new eco-ghost has turned amity park into a real urban jungle. danny phantom must battle his way through the twisted thorns and monstrous vegetation and learn an all new-freeze power to defeat this evil nemesis. specifications ...,,20.97,http://www.google.com/base/feeds/snippets/18439285252319697866
109,microspot macdraft pe personal edition,operating system: macintosh os x 10.2 or higher processor: power mac g3 or higher memory (ram): 8 mb free hard disk space: 20 mb minimum screen resolution: 1024 x 768,,85.99,http://www.google.com/base/feeds/snippets/5707639507589635432
110,knowledge adventure inc. - 20223 - jumpstart world 1st grade - mini box,welcome to jumpstart world 1st grade a revolutionary 3d world of learning that actually progresses in response to a child?s own learning pace. it?s super-personalized wildly imaginative and really fun but don?t let that fool you - it also teaches ...,,16.93,http://www.google.com/base/feeds/snippets/18373254644070862441
111,dvd moviefactory 6 plus,corel dvd moviefactory 6 plus windows,,77.32,http://www.google.com/base/feeds/snippets/11294551601294188336
